ID,X,Y,Population,Elevation,Slope,Landcover,Riverflow,NAME,Road_dist,Cluster
2074,156728.8796,8526866.856,0,308.6730042,2.50364545,1,,,1322.749102,
2073,156838.3799,8525816.474,0,300.7139893,2.549669988,1,,,1597.648444,
2072,156864.2051,8520188.453,0,303.9869995,1.27943321,5,,,796.8234105,
2061,155374.4036,8512027.12,0,309.6409912,4.540730598,5,,,6055.070218,
2058,155535.0098,8508957.116,0,358.7319946,7.375646736,1,,,5167.351182,
2132,159505.0692,8526827.707,0,307.1059875,4.685351509,1,,,611.72469,
2104,159087.4091,8524455.257,0,335.9609985,7.310405754,1,,,201.4021924,
2100,159173.903,8520599.939,0,321.0559998,3.937873237,1,,,541.1948862,
2122,160191.9824,8516527.853,0,322.5140076,2.017046405,1,,,128.3962817,
2096,159768.4404,8512170.422,0,303.9930115,1.262148087,5,,,3816.5411,
2078,159205.9191,8508574.463,0,339.5440063,7.380289375,1,,,1934.934888,
2089,159824.6296,8505630.214,0,327.0249939,10.36654134,1,,,82.39118346,
2109,160599.2925,8501039.383,0,320.2279968,4.146298008,5,,,4582.035353,
2226,163245.1365,8527473.645,0,376.4630127,2.229856175,1,,,1133.014282,
2223,163063.5387,8524450.507,0,375.6830139,3.171971608,1,,,438.7634463,
2219,163063.5387,8520450.507,0,369.9190063,1.886266463,1,,,1148.564456,
2215,163063.5387,8516450.507,0,351.2569885,1.347643497,1,,,110.8815305,
2175,163063.5387,8512450.507,0,369.2250061,7.020858517,1,,,2843.720568,
2171,163063.5387,8508450.507,0,428.8869934,6.357026346,1,,,927.2885928,
2167,163072.9122,8504452.657,0,415.0679932,10.35230326,1,,,3517.856091,
2163,163174.1429,8501404.466,0,318.8670044,2.781634525,5,,,3813.400797,
2232,164296.7054,8496397.332,0,457.7250061,11.847454,1,,,768.4444096,
2192,164029.2954,8492318.676,0,469.4679871,16.22798734,1,,,4420.878218,
1436,164509.0946,8489714.017,0,389.9089966,11.79318409,1,,,5796.185966,
6745,167931.9196,8534558.171,0,365.776001,5.184698242,5,,,7050.276013,
6743,167818.0158,8532381.736,0,522.1259766,15.98126695,1,,,5189.365387,
2378,167240.2167,8528291.232,0,361.1090088,1.626834209,1,,,1889.631621,
2374,167063.5387,8524450.507,0,383.6809998,1.571569832,1,,,2539.603257,
2370,167063.5387,8520450.507,0,400.2160034,1.767381781,1,,,560.688461,
2365,167063.5387,8516450.507,0,405.8420105,15.97147158,1,,,2396.576865,
2322,167063.5387,8512450.507,0,374.1010132,1.678007655,1,,,2493.773882,
2318,167063.5387,8508450.507,0,467.3359985,6.185956019,1,,,758.7127402,
2314,167063.5387,8504450.507,0,397.5140076,14.6948608,1,,,1912.375192,5
2310,167087.773,8500459.194,101,330.5029907,11.21783305,1,,,1915.126485,5
2306,167063.5387,8496450.507,0,364.0920105,2.762707914,1,,,550.5832013,5
2302,167063.5387,8492450.507,0,573.7680054,13.7364561,1,,,2103.738009,
1450,167120.8226,8488485.074,0,608.9899902,25.49400024,5,,,5886.709809,
1447,167565.289,8485327.878,0,389.8049927,8.478207954,5,,,7166.815503,
6751,170284.0376,8531552.586,0,443.0559998,19.32914705,1,,,6160.694351,
2534,171019.4127,8528399.636,0,624.1710205,23.84902183,5,,,5617.741828,
2529,171063.5387,8524450.507,0,436.8729858,11.56905101,1,,,3713.528225,
2525,171063.5387,8520450.507,0,448.4119873,6.579920977,5,,,509.5008148,
2482,171063.5387,8516450.507,0,547.9050293,19.24774934,5,,,592.1308327,
2478,171063.5387,8512450.507,0,396.3299866,7.670298,5,,,241.9704631,
2474,171063.5387,8508450.507,0,415.8059998,6.488416144,1,,,910.4702875,
2470,171063.5387,8504450.507,2,376.4599915,18.18132453,1,,,391.0637294,5
2466,171063.5387,8500450.507,6,366.0350037,6.15201581,1,,,515.5406212,5
2462,171063.5387,8496450.507,6,452.7219849,7.792621026,1,,,1375.616463,5
2458,171063.5387,8492450.507,4,812.6859741,13.19745281,1,,,3192.958005,
1484,171063.5387,8488450.507,0,589.4970093,24.62573343,1,,,4289.611639,4
1480,171088.0844,8484472.782,4,422.1889954,4.529364272,5,,,3639.109787,4
1490,171317.8929,8480641.779,9,483.196991,13.49432487,1,,,5005.162417,4
1503,172558.5259,8476303.185,3,363.5130005,4.23427968,1,,,1641.576907,4
1502,172947.0989,8470915.66,0,412.2590027,22.51744467,1,,,4781.008221,
1502,172848.5909,8470376.111,0,371.928009,7.690623277,1,,,5328.400379,
2691,174995.7439,8530472.307,0,513.6660156,4.964137393,5,,,9269.713617,
2689,175030.5102,8528317.67,0,786.0109863,13.4767023,1,,,7308.271946,
2685,175063.5387,8524450.507,0,895.0460205,6.969891834,1,,,3660.944993,
2642,175063.5387,8520450.507,0,646.0819702,12.41470768,5,,,872.2163632,
2638,175063.5387,8516450.507,0,691.7470093,17.34362596,1,,,1968.0364,
2634,175063.5387,8512450.507,0,424.6990051,10.11970807,1,,,3436.908503,
2630,175063.5387,8508450.507,3,582.8099976,11.38007391,1,,,2931.618647,6
2626,175063.5387,8504450.507,9,419.8410034,4.493790917,1,,,3776.423944,6
2622,175063.5387,8500450.507,1,379.8049927,16.21240942,1,,,4035.138448,
2618,175063.5387,8496450.507,14,489.118988,19.46134279,5,,,1757.538245,5
2614,175063.5387,8492450.507,2,601.5360107,8.575720255,1,,,312.6492355,
1560,175063.5387,8488450.507,15,466.5950012,2.540145117,1,,,640.5648729,4
1556,175063.5387,8484450.507,27,472.2019958,5.801466959,1,,,107.1961208,4
1552,175100.4842,8480482.406,22,369.1130066,2.100796479,1,,,2567.030409,4
1548,175092.8453,8476470.168,0,667.3800049,18.04872644,1,,,1385.769924,4
1568,175306.2154,8472408.761,4,410.2109985,1.773234033,1,,,3411.184007,
1565,176143.8966,8469533.046,0,392.5669861,7.473691543,1,,,6395.918036,
2804,178455.1953,8527103.226,0,606.2410278,15.75825722,5,,,4536.168821,7
2838,179066.9884,8524437.969,18,701.1480103,11.49286613,1,,,2032.604156,7
2797,179063.5387,8520450.507,0,727.7340088,9.216212642,5,,,23.93575067,
2793,179063.5387,8516450.507,0,755.0269775,9.949373435,5,,,3912.85558,
2789,179063.5387,8512450.507,0,709.0570068,17.43887243,1,,,7091.641773,
2785,179063.5387,8508450.507,6,615.0679932,19.502488,1,,,6914.80824,6
2781,179063.5387,8504450.507,21,432.0010071,20.36983134,5,,,7540.850821,6
2777,179063.5387,8500450.507,0,540.7290039,24.33968881,5,,,7362.55304,6
2773,179063.5387,8496450.507,0,412.7229919,9.508444552,1,,,5093.374016,
2731,179063.5387,8492450.507,0,682.7709961,13.39267603,1,,,3756.092013,
1659,179063.5387,8488450.507,2,594.3480225,13.92054581,1,,,3081.236348,4
1655,179063.5387,8484450.507,17,554.7000122,4.655405646,1,,,919.054601,4
1651,179063.5387,8480450.507,70,433.5150146,4.833763276,5,,,2046.744012,4
1647,179063.5387,8476450.507,4,699.1849976,18.93470368,1,,,4925.730998,4
1643,179063.5387,8472450.507,0,816.3010254,16.41694582,5,,,5918.073381,
1638,179237.6318,8468704.623,0,445.3099976,4.188925642,1,,,8613.134375,
1702,180715.5018,8465435.135,0,398.7290039,5.871951253,1,,,7032.37486,
1666,180536.5065,8460213.537,0,416.2210083,6.031938494,1,,,4262.416267,
1663,180562.5271,8457651.37,0,444.1870117,4.962320604,1,,,4470.108312,
2988,182974.9331,8527409.694,27,680.1400146,2.16497298,1,,,3821.415071,7
2947,183063.5387,8524450.507,0,899.5540161,34.324277,5,,,1005.144097,7
2943,183063.5387,8520450.507,5,926.164978,9.063165626,5,,,2676.597515,
2939,183063.5387,8516450.507,0,706,5.698180048,5,,,5477.499113,
2935,183063.5387,8512450.507,0,739.5510254,21.13362668,5,,,8349.321792,
2931,183063.5387,8508450.507,6,471.178009,24.77874081,1,,,9047.446444,6
2927,183063.5387,8504450.507,0,523.5109863,13.40866474,5,,,10655.35702,6
2923,183063.5387,8500450.507,0,563.6019897,12.46637567,5,,,10445.78968,
2919,183063.5387,8496450.507,0,474.677002,19.7410716,1,,,8957.024682,
2878,183063.5387,8492450.507,0,496.5140076,20.84752908,1,,,7724.437037,
1789,183063.5387,8488450.507,12,501.9700012,11.96472401,1,,,6410.355038,4
1785,183063.5387,8484450.507,17,604.5609741,17.73090511,1,,,3431.599592,4
1780,183063.5387,8480450.507,13,491.1870117,6.941352772,5,,,246.9876614,4
1776,183063.5387,8476450.507,0,466.9240112,4.295812132,1,,,3696.034077,4
1772,183063.5387,8472450.507,0,745.4039917,36.63988542,5,,,7593.248746,
1768,183063.5387,8468450.507,0,415.0629883,3.015975709,1,,,8754.402393,
1738,183107.6563,8464484.293,0,463.9930115,1.768309802,1,,,5051.198542,
1734,183071.6785,8460442.781,0,460.0069885,2.39303908,1,,,1905.640061,
263,183350.4672,8456761.919,6,420.8930054,4.609410962,1,,,2859.38857,
282,184327.1617,8452846.129,71,422.5280151,4.375095069,1,,,1341.783041,0
279,184685.3837,8447442.882,5,443.5820007,2.291581107,1,,,3971.897828,0
278,184631.6484,8446139.087,0,439.5150146,4.602808861,1,,,5257.993671,0
276,184953.188,8439260.762,0,456.8729858,3.977920902,1,,,2649.561661,
3061,185746.9115,8526852.629,0,731.0479736,3.298372079,5,,,2604.50114,7
3096,186958.8478,8524272.395,9,775.1049805,14.10504485,1,,,198.1171275,7
3092,187063.5387,8520450.507,0,923.815979,8.979858213,1,,,2382.343578,
3088,187063.5387,8516450.507,0,911.2360229,19.34163101,1,,,3133.457801,
3084,187063.5387,8512450.507,0,886.6760254,30.49413593,5,,,4507.454819,
3080,187063.5387,8508450.507,0,513.6290283,16.97747275,5,,,5262.117477,
3076,187063.5387,8504450.507,0,659.9099731,13.95247281,5,,,7447.122341,
3072,187063.5387,8500450.507,0,971.8540039,14.65556286,5,,,9719.770429,
3068,187063.5387,8496450.507,0,579.3839722,18.99573865,5,,,6880.034514,
3027,187063.5387,8492450.507,0,563.0300293,23.42979626,1,,,5669.685035,
1892,187063.5387,8488450.507,3,725.2219849,11.96589433,1,,,4439.196589,4
1888,187063.5387,8484450.507,15,703.9349976,16.86757459,1,,,2097.141637,4
1884,187063.5387,8480450.507,28,519.1110229,8.377502526,1,,,734.9447176,4
1880,187063.5387,8476450.507,0,960.4559937,19.66577792,5,,,3624.629452,4
1876,187063.5387,8472450.507,0,599.3280029,15.93126296,1,,,7470.512361,
1872,187063.5387,8468450.507,0,429.0750122,4.389992457,1,,,5062.918723,
357,187063.5387,8464450.507,0,450.993988,2.549696982,1,,,4559.503764,
353,187063.5387,8460450.507,0,478.0740051,6.215473004,1,,,1109.742872,
349,187063.5387,8456450.507,0,486.3559875,5.45846422,1,,,1708.019276,
345,187063.5387,8452450.507,0,487.8150024,1.028101335,1,,,455.4377448,0
341,187139.6155,8448425.491,19,486.3039856,1.615323631,5,,,3210.742279,0
374,187634.0273,8444694.435,2,450.2200012,2.237177519,1,,,4295.531922,0
370,187668.1484,8440138.531,0,454.8059998,1.168647065,1,,,1847.118871,
330,187370.0732,8436340.737,0,504.0130005,1.215778587,1,,,180.0220302,
326,187653.2563,8432941.94,0,492.8619995,2.914970934,1,,,2150.481188,
3236,191057.9969,8524287.582,0,926.7910156,17.12035609,1,,,2491.552069,
3232,191063.5387,8520450.507,0,917.0900269,13.02727343,1,,,1154.156974,
3228,191063.5387,8516450.507,0,654.6900024,20.6762415,1,,,167.6038832,
3224,191063.5387,8512450.507,0,640.6469727,14.63671579,1,,,592.2940696,
3220,191063.5387,8508450.507,2,765.2869873,31.66315689,5,,,1824.292702,
3216,191063.5387,8504450.507,0,935.9940186,13.33415917,1,,,5095.457754,
3211,191063.5387,8500450.507,0,990.1010132,13.11914936,1,,,8070.675673,
3172,191063.5387,8496450.507,0,635.6220093,23.54828761,5,,,4242.086657,
2000,191063.5387,8492450.507,0,798.1099854,6.914195265,5,,,1674.89916,
1996,191063.5387,8488450.507,12,654.5100098,20.82237589,1,,,1534.834113,4
1992,191063.5387,8484450.507,0,797.5289917,12.78264006,1,,,555.4683274,
1988,191063.5387,8480450.507,0,594.0570068,5.404610665,1,,,2907.556257,4
1984,191063.5387,8476450.507,0,486.9089966,3.195542879,1,,,5759.542401,
1980,191063.5387,8472450.507,0,466.822998,4.20626806,1,,,6542.999801,
1950,191063.5387,8468450.507,0,443.7430115,1.729943526,1,,,2563.935329,
471,191063.5387,8464450.507,0,455.9129944,2.941017611,1,,,602.6493763,
467,191063.5387,8460450.507,0,496.0109863,3.218349681,1,,,976.8854512,
463,191063.5387,8456450.507,0,502.42099,3.409850968,5,,,996.5794439,
459,191063.5387,8452450.507,1,486.1289978,4.761731931,1,,,905.0682692,
455,191063.5387,8448450.507,0,485.6340027,4.105155282,1,,,235.7839108,0
30,191063.5387,8444450.507,4,471.894989,1.675576005,5,,,1015.974443,0
26,191063.5387,8440450.507,0,513.2689819,1.865102324,1,,,899.3793884,
6,191063.5387,8436450.507,0,532.1409912,11.29868429,5,,,2963.015982,
2,190928.3755,8432778.144,0,835.03302,17.39176616,5,,,3650.245876,
397,190974.5349,8430448.795,0,569.7860107,21.37530821,5,,,3134.193185,
3397,194010.419,8526490.978,0,1012.190002,6.983756579,1,,,5708.055954,
3457,194792.066,8524156.538,0,1110.130005,1.837718655,1,,,5873.271755,
3453,195063.5387,8520450.507,0,1084.22998,11.13387712,1,,,5040.594063,
3449,195063.5387,8516450.507,0,945.9379883,4.670345244,1,,,3833.196531,
3445,195063.5387,8512450.507,0,991.3220215,16.10677425,1,,,2128.668912,8
3440,195063.5387,8508450.507,16,811.4439697,14.37966773,1,,,634.5314234,8
3436,195063.5387,8504450.507,0,800.3959961,19.20308384,1,,,4605.293812,8
3370,195063.5387,8500450.507,0,1021.039978,11.15006248,5,,,8230.876774,
3366,195063.5387,8496450.507,0,898.2369995,17.03141455,5,,,4539.316474,
3362,195063.5387,8492450.507,0,859.3839722,5.667847309,1,,,1178.233209,2
3358,195063.5387,8488450.507,7,794.34198,4.265402925,1,,,111.4730859,2
3354,195063.5387,8484450.507,0,913.5839844,32.15977559,5,,,1952.085141,
